model,configuration,best_params,cv_accuracy_mean,cv_accuracy_std,train_accuracy_mean,train_validation_gap,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,grid_fit_time_seconds,test_predict_time_seconds
svm_rbf_all_features,optimized,"{'model__C': 3, 'model__gamma': 'scale'}",0.7275175360799806,0.012973903035177013,0.9860568918132759,0.25853935573329534,0.7121212121212122,0.7161151541956495,0.7122222222222223,0.7120834450102744,4.943730400002096,0.017308400012552738
svm_rbf_select_k_best,optimized,"{'model__C': 3, 'model__gamma': 'scale', 'selector__k': 'all'}",0.7275175360799806,0.012973903035177013,0.9860568918132759,0.25853935573329534,0.7121212121212122,0.7161151541956495,0.7122222222222223,0.7120834450102744,10.230071700003464,0.01737040001899004
