train_size,train_accuracy_mean,train_accuracy_std,validation_accuracy_mean,validation_accuracy_std,generalization_gap
126,1.0,0.0,0.6045472869467065,0.037830676003803076,0.39545271305329355
252,0.9984126984126984,0.0031746031746031633,0.6654035314036927,0.012127422557106617,0.33300916700900574
378,0.9941798941798942,0.0035096558628099402,0.6894461017495767,0.017168543687103455,0.3047337924303175
504,0.986111111111111,0.0028059792904228447,0.698363299201806,0.009097689741363664,0.2877478119093051
631,0.9857369255150555,0.0030069201206038435,0.7275175360799806,0.012973903035177013,0.25821938943507494
