,precision,recall,f1-score,support,model
hiphop,0.4,0.4,0.4,20.0,decision_tree_tuned
jazz,0.5909090909090909,0.65,0.6190476190476191,20.0,decision_tree_tuned
metal,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0,decision_tree_tuned
pop,0.5238095238095238,0.55,0.5365853658536586,20.0,decision_tree_tuned
reggae,0.4,0.4,0.4,20.0,decision_tree_tuned
rock,0.2608695652173913,0.3,0.27906976744186046,20.0,decision_tree_tuned
accuracy,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,decision_tree_tuned
macro avg,0.4353988891860746,0.44722222222222224,0.43937392262051933,198.0,decision_tree_tuned
weighted avg,0.43250168380187104,0.4444444444444444,0.43651686908918896,198.0,decision_tree_tuned
blues,0.85,0.85,0.85,20.0,random_forest_tuned
classical,0.8333333333333334,1.0,0.9090909090909091,20.0,random_forest_tuned
country,0.6111111111111112,0.55,0.5789473684210527,20.0,random_forest_tuned
disco,0.5882352941176471,0.5,0.5405405405405406,20.0,random_forest_tuned
hiphop,0.7142857142857143,0.5,0.5882352941176471,20.0,random_forest_tuned
jazz,0.8947368421052632,0.85,0.8717948717948718,20.0,random_forest_tuned
metal,0.75,0.8333333333333334,0.7894736842105263,18.0,random_forest_tuned
pop,0.6818181818181818,0.75,0.7142857142857143,20.0,random_forest_tuned
reggae,0.5454545454545454,0.6,0.5714285714285714,20.0,random_forest_tuned
rock,0.36363636363636365,0.4,0.38095238095238093,20.0,random_forest_tuned
accuracy,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,random_forest_tuned
macro avg,0.683261138586216,0.6833333333333333,0.6794749334842214,198.0,random_forest_tuned
weighted avg,0.6825870086729454,0.6818181818181818,0.6783638349920365,198.0,random_forest_tuned
blues,0.6818181818181818,0.75,0.7142857142857143,20.0,gradient_boosting_tuned
classical,0.8095238095238095,0.85,0.8292682926829268,20.0,gradient_boosting_tuned
country,0.5,0.5,0.5,20.0,gradient_boosting_tuned
disco,0.5294117647058824,0.45,0.4864864864864865,20.0,gradient_boosting_tuned
hiphop,0.7058823529411765,0.6,0.6486486486486487,20.0,gradient_boosting_tuned
jazz,0.8235294117647058,0.7,0.7567567567567568,20.0,gradient_boosting_tuned
metal,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0,gradient_boosting_tuned
pop,0.7,0.7,0.7,20.0,gradient_boosting_tuned
reggae,0.6363636363636364,0.7,0.6666666666666666,20.0,gradient_boosting_tuned
rock,0.43478260869565216,0.5,0.46511627906976744,20.0,gradient_boosting_tuned
accuracy,0.6464646464646465,0.6464646464646465,0.6464646464646465,0.6464646464646465,gradient_boosting_tuned
macro avg,0.6505522292128834,0.6472222222222223,0.646993154729967,198.0,gradient_boosting_tuned
weighted avg,0.650212246413864,0.6464646464646465,0.6464304320231716,198.0,gradient_boosting_tuned
